id,route,warehouse,delivery_time,delay_minutes,delay_reason,date
1,Route B,WH4,3.3,158,Weather,2024-09-25
2,Route A,WH1,5.5,47,Weather,2024-10-24
3,Route B,WH4,3.0,136,Staff,2024-10-13
4,Route B,WH3,7.5,171,Staff,2024-11-02
5,Route A,WH3,7.7,0,None,2024-11-23
6,Route C,WH4,3.6,30,Traffic,2024-09-13
7,Route C,WH2,5.2,0,None,2024-09-22
8,Route A,WH3,6.1,0,None,2024-10-27
9,Route A,WH1,7.6,61,Weather,2024-10-19
10,Route A,WH2,7.7,18,Weather,2024-09-22
11,Route D,WH2,4.7,0,None,2024-11-18
12,Route A,WH1,4.8,146,Staff,2024-09-03
13,Route A,WH4,6.9,148,Traffic,2024-10-26
14,Route C,WH3,6.0,17,Staff,2024-10-19
15,Route C,WH1,6.5,102,Staff,2024-11-04
16,Route B,WH2,7.4,71,Traffic,2024-09-12
17,Route B,WH1,4.2,90,Staff,2024-09-27
18,Route A,WH3,4.7,27,Staff,2024-10-12
19,Route C,WH4,7.4,0,None,2024-11-10
20,Route A,WH2,6.9,97,Weather,2024-09-15
21,Route B,WH3,6.4,0,None,2024-11-03
22,Route D,WH2,3.3,140,Staff,2024-10-26
23,Route D,WH2,3.7,165,Weather,2024-09-22
24,Route C,WH1,7.1,164,Weather,2024-09-30
25,Route A,WH4,5.1,0,None,2024-11-30
26,Route C,WH2,3.7,51,Weather,2024-10-15
27,Route D,WH3,6.7,0,None,2024-10-01
28,Route B,WH1,3.5,0,None,2024-11-16
29,Route B,WH1,4.7,0,None,2024-10-23
30,Route A,WH2,3.1,38,Staff,2024-11-02
31,Route A,WH2,8.0,129,Traffic,2024-10-09
32,Route D,WH1,7.0,30,Staff,2024-11-14
33,Route A,WH1,6.2,44,Traffic,2024-10-19
34,Route D,WH3,5.4,132,Staff,2024-11-18
35,Route A,WH1,4.8,142,Weather,2024-11-07
36,Route B,WH3,4.6,77,Staff,2024-09-07
37,Route A,WH2,3.6,101,Staff,2024-10-05
38,Route D,WH3,7.2,0,None,2024-09-30
39,Route D,WH2,3.8,137,Traffic,2024-10-26
40,Route D,WH3,4.2,0,None,2024-10-25
41,Route B,WH2,4.4,48,Weather,2024-11-22
42,Route A,WH2,4.3,0,None,2024-11-22
43,Route A,WH2,6.7,166,Traffic,2024-09-08
44,Route D,WH4,7.4,57,Staff,2024-10-07
45,Route A,WH4,7.4,33,Weather,2024-11-14
46,Route D,WH4,5.2,124,Weather,2024-09-28
47,Route B,WH2,7.5,0,None,2024-11-11
48,Route C,WH1,6.8,54,Staff,2024-10-29
49,Route C,WH1,5.1,0,None,2024-09-04
50,Route B,WH2,3.3,109,Staff,2024-11-05
51,Route D,WH4,6.7,0,None,2024-09-14
52,Route C,WH2,5.1,116,Staff,2024-10-02
53,Route B,WH2,7.2,59,Traffic,2024-09-13
54,Route D,WH3,6.9,58,Traffic,2024-10-17
55,Route B,WH3,3.2,39,Weather,2024-11-24
56,Route C,WH3,5.8,158,Weather,2024-10-23
57,Route D,WH4,4.7,0,None,2024-09-30
58,Route B,WH3,5.5,159,Weather,2024-09-10
59,Route D,WH1,3.3,0,None,2024-10-31
60,Route A,WH1,3.3,172,Staff,2024-11-05
61,Route A,WH1,7.3,114,Traffic,2024-09-12
62,Route C,WH4,5.8,0,None,2024-09-22
63,Route B,WH4,7.1,57,Staff,2024-09-02
64,Route D,WH4,5.2,0,None,2024-11-01
65,Route A,WH1,7.7,149,Weather,2024-10-13
66,Route A,WH4,5.2,0,None,2024-10-13
67,Route B,WH3,6.7,22,Staff,2024-11-25
68,Route A,WH2,6.0,137,Traffic,2024-10-24
69,Route A,WH2,7.9,38,Traffic,2024-11-12
70,Route B,WH1,4.4,125,Traffic,2024-10-02
71,Route C,WH1,6.2,141,Traffic,2024-10-06
72,Route B,WH2,3.7,59,Staff,2024-11-08
73,Route C,WH1,7.2,168,Weather,2024-09-15
74,Route D,WH4,4.6,109,Traffic,2024-11-13
75,Route A,WH3,7.1,85,Weather,2024-10-29
76,Route C,WH3,3.2,43,Traffic,2024-09-29
77,Route A,WH1,4.1,112,Traffic,2024-10-19
78,Route D,WH4,3.4,0,None,2024-10-11
79,Route A,WH4,6.7,175,Traffic,2024-11-27
80,Route B,WH4,5.8,158,Weather,2024-09-16
81,Route C,WH2,3.1,0,None,2024-11-16
82,Route D,WH4,6.6,142,Traffic,2024-10-12
83,Route B,WH1,4.5,86,Staff,2024-09-30
84,Route A,WH2,5.5,148,Staff,2024-10-06
85,Route C,WH3,3.7,101,Traffic,2024-09-10
86,Route D,WH3,5.1,56,Traffic,2024-09-30
87,Route C,WH4,6.4,112,Staff,2024-10-17
88,Route C,WH1,6.0,15,Staff,2024-11-19
89,Route B,WH2,6.4,165,Traffic,2024-10-03
90,Route C,WH1,6.5,176,Weather,2024-11-09
91,Route D,WH1,4.3,143,Traffic,2024-09-07
92,Route A,WH1,4.6,16,Traffic,2024-11-14
93,Route C,WH1,7.4,20,Traffic,2024-10-19
94,Route B,WH3,3.8,62,Staff,2024-11-29
95,Route B,WH3,7.2,29,Weather,2024-10-20
96,Route D,WH2,5.4,61,Weather,2024-09-28
97,Route C,WH3,5.5,0,None,2024-11-15
98,Route A,WH4,7.9,124,Traffic,2024-10-23
99,Route B,WH2,6.6,154,Staff,2024-09-04
100,Route B,WH3,3.8,130,Weather,2024-10-15
101,Route B,WH3,5.3,17,Staff,2024-11-28
102,Route B,WH2,7.8,36,Staff,2024-10-05
103,Route D,WH2,5.3,0,None,2024-10-09
104,Route B,WH4,6.4,20,Traffic,2024-10-23
105,Route C,WH4,3.4,62,Traffic,2024-11-27
106,Route A,WH1,4.8,166,Staff,2024-11-01
107,Route D,WH1,6.0,0,None,2024-10-11
108,Route A,WH1,6.2,69,Weather,2024-09-03
109,Route C,WH3,5.1,92,Traffic,2024-11-14
110,Route C,WH1,5.9,95,Weather,2024-09-12
111,Route C,WH2,7.5,177,Weather,2024-11-01
112,Route C,WH4,5.0,148,Weather,2024-10-13
113,Route A,WH2,7.1,0,None,2024-11-23
114,Route C,WH1,3.5,125,Traffic,2024-11-18
115,Route B,WH3,4.1,0,None,2024-11-30
116,Route A,WH3,7.7,124,Staff,2024-10-20
117,Route B,WH4,7.3,0,None,2024-09-09
118,Route A,WH4,7.8,71,Staff,2024-09-27
119,Route B,WH3,4.6,93,Weather,2024-10-07
120,Route B,WH1,3.4,45,Weather,2024-11-20
121,Route D,WH4,5.1,59,Weather,2024-09-14
122,Route A,WH2,6.5,130,Weather,2024-09-27
123,Route D,WH3,5.5,54,Traffic,2024-09-26
124,Route C,WH4,5.5,112,Staff,2024-10-07
125,Route B,WH3,5.1,94,Weather,2024-10-10
126,Route A,WH3,7.6,79,Staff,2024-09-29
127,Route B,WH1,7.9,19,Weather,2024-10-29
128,Route C,WH2,6.7,48,Weather,2024-09-04
129,Route C,WH3,3.7,50,Weather,2024-09-10
130,Route C,WH2,7.6,149,Weather,2024-11-21
131,Route D,WH4,7.2,66,Weather,2024-11-19
132,Route A,WH3,5.8,0,None,2024-11-15
